Stress,CESD,N,E,O,A,C,sex
21,11,72.23 ,49.64 ,60.49 ,24.60 ,39.34 ,1
16,8,55.84 ,44.09 ,49.94 ,34.74 ,45.35 ,1
12,9,62.21 ,36.22 ,54.06 ,40.55 ,50.31 ,1
12,8,45.35 ,45.85 ,56.84 ,55.80 ,48.93 ,1
17,9,62.42 ,63.48 ,69.07 ,44.09 ,27.24 ,1
12,2,57.16 ,58.85 ,58.95 ,27.17 ,50.25 ,1
32,20,65.60 ,34.81 ,56.53 ,38.67 ,45.10 ,1
16,7,47.38 ,38.40 ,52.53 ,59.92 ,52.90 ,1
14,8,60.17 ,26.91 ,33.79 ,38.61 ,47.97 ,1
37,34,53.21 ,43.73 ,50.21 ,57.72 ,45.47 ,1
20,8,59.31 ,52.38 ,52.92 ,48.20 ,41.98 ,1
14,13,54.43 ,45.76 ,56.72 ,38.56 ,40.50 ,1
22,10,61.79 ,50.84 ,54.05 ,55.62 ,27.29 ,1
22,8,62.71 ,42.39 ,65.91 ,36.65 ,40.57 ,1
20,18,53.82 ,53.70 ,61.24 ,55.58 ,42.16 ,1
27,9,59.46 ,44.97 ,46.47 ,29.03 ,41.40 ,1
30,17,56.46 ,49.81 ,58.72 ,42.32 ,53.43 ,1
13,6,61.54 ,48.13 ,53.30 ,57.64 ,41.12 ,1
13,6,53.05 ,38.53 ,63.00 ,58.15 ,45.92 ,1
20,4,53.72 ,58.49 ,79.29 ,49.93 ,39.70 ,1
19,10,53.36 ,49.03 ,48.54 ,44.27 ,24.36 ,1
13,8,49.79 ,33.32 ,33.24 ,36.58 ,43.92 ,1
12,7,50.88 ,53.52 ,55.79 ,50.19 ,37.91 ,1
10,10,59.39 ,51.02 ,55.45 ,34.56 ,45.91 ,1
12,15,63.19 ,50.53 ,55.73 ,49.54 ,61.64 ,1
26,16,64.78 ,39.85 ,45.85 ,40.60 ,40.05 ,1
18,11,56.89 ,45.81 ,56.18 ,42.07 ,47.44 ,1
39,10,51.61 ,42.42 ,76.91 ,42.42 ,52.95 ,1
18,10,76.52 ,42.57 ,71.27 ,29.41 ,23.84 ,1
12,9,32.46 ,50.13 ,68.15 ,75.01 ,58.15 ,1
14,20,46.23 ,32.37 ,32.14 ,44.21 ,39.00 ,1
31,15,65.17 ,57.08 ,64.30 ,48.02 ,33.44 ,1
9,6,59.16 ,57.48 ,75.52 ,46.49 ,52.42 ,1
28,18,52.25 ,34.25 ,47.60 ,43.79 ,23.37 ,1
14,10,60.72 ,41.77 ,49.37 ,79.96 ,26.72 ,1
20,25,63.30 ,24.70 ,54.54 ,25.19 ,31.95 ,1
12,5,50.93 ,43.92 ,51.46 ,51.82 ,37.23 ,1
24,14,73.30 ,29.38 ,54.36 ,38.71 ,33.38 ,1
9,9,56.49 ,34.59 ,38.36 ,64.98 ,26.10 ,1
10,9,51.11 ,63.45 ,50.85 ,45.89 ,36.04 ,1
11,8,47.91 ,28.27 ,43.82 ,51.75 ,36.96 ,1
23,18,33.75 ,58.06 ,53.71 ,36.40 ,43.47 ,1
19,10,53.61 ,55.61 ,48.88 ,43.68 ,44.40 ,1
18,11,56.16 ,57.14 ,66.84 ,30.81 ,32.92 ,1
10,7,47.08 ,58.12 ,71.80 ,64.95 ,56.47 ,1
9,9,58.02 ,52.67 ,64.95 ,52.18 ,44.25 ,1
15,2,59.02 ,68.80 ,66.02 ,50.41 ,54.73 ,1
14,6,65.18 ,51.14 ,41.59 ,40.16 ,39.16 ,1
36,21,68.68 ,51.30 ,40.78 ,52.17 ,22.06 ,1
12,0,59.15 ,47.58 ,46.54 ,61.55 ,35.78 ,1
9,9,39.86 ,52.06 ,68.07 ,43.96 ,40.92 ,1
19,20,61.87 ,32.76 ,57.59 ,46.52 ,26.58 ,1
19,9,52.21 ,39.97 ,42.90 ,40.58 ,55.42 ,1
28,18,69.59 ,51.60 ,53.25 ,31.21 ,32.66 ,1
21,14,74.14 ,34.69 ,52.41 ,55.51 ,44.44 ,1
25,20,41.45 ,38.75 ,54.65 ,46.30 ,57.17 ,1
29,17,72.08 ,27.79 ,71.69 ,74.72 ,20.21 ,1
17,12,53.17 ,50.01 ,79.27 ,66.82 ,50.47 ,1
18,22,45.09 ,41.29 ,61.86 ,42.38 ,36.35 ,1
15,5,76.26 ,38.46 ,34.54 ,51.84 ,22.75 ,1
11,6,46.79 ,55.88 ,54.79 ,61.41 ,42.49 ,1
14,8,58.21 ,63.19 ,67.08 ,46.15 ,48.42 ,1
28,24,66.92 ,23.47 ,48.30 ,44.45 ,48.34 ,1
44,45,70.44 ,39.06 ,32.91 ,40.22 ,13.28 ,1
21,10,60.11 ,36.99 ,37.76 ,36.97 ,40.87 ,1
15,2,61.38 ,55.65 ,45.18 ,42.51 ,33.79 ,1
9,6,44.62 ,29.57 ,45.75 ,46.00 ,58.24 ,1
33,16,67.25 ,49.74 ,59.95 ,34.84 ,30.85 ,1
32,15,74.55 ,21.10 ,44.57 ,37.30 ,29.72 ,1
21,13,60.13 ,41.36 ,61.54 ,40.67 ,46.75 ,1
14,10,62.61 ,40.06 ,53.86 ,44.20 ,41.48 ,1
14,10,47.31 ,44.32 ,36.05 ,53.53 ,46.43 ,1
19,10,55.27 ,38.16 ,28.75 ,57.51 ,46.40 ,1
10,6,46.35 ,39.22 ,53.09 ,50.04 ,43.51 ,1
23,16,60.18 ,38.67 ,58.19 ,42.26 ,45.22 ,1
11,7,48.60 ,47.67 ,50.50 ,67.32 ,44.57 ,1
24,19,65.03 ,34.70 ,75.11 ,55.40 ,30.12 ,1
20,9,67.42 ,30.92 ,54.98 ,31.09 ,46.57 ,1
16,6,45.38 ,38.10 ,36.97 ,66.78 ,39.41 ,1
14,9,58.17 ,32.14 ,30.43 ,66.96 ,42.92 ,1
28,18,89.42 ,45.53 ,41.03 ,11.55 ,39.31 ,1
17,10,62.83 ,54.17 ,45.69 ,51.40 ,24.26 ,1
11,0,48.08 ,48.98 ,79.61 ,44.55 ,44.97 ,1
14,8,60.66 ,57.08 ,76.11 ,59.72 ,28.35 ,1
12,8,65.01 ,62.36 ,60.86 ,46.58 ,45.81 ,1
25,6,56.56 ,42.02 ,35.49 ,41.74 ,31.73 ,1
30,10,79.87 ,38.80 ,42.22 ,27.51 ,17.12 ,1
12,9,49.05 ,50.32 ,41.11 ,65.66 ,41.74 ,1
16,10,59.42 ,29.01 ,50.08 ,36.61 ,52.76 ,1
21,14,76.72 ,29.68 ,56.51 ,40.40 ,31.09 ,1
12,16,49.34 ,38.94 ,65.52 ,46.43 ,44.73 ,1
16,12,77.63 ,26.98 ,36.43 ,45.84 ,35.36 ,1
27,17,69.28 ,29.64 ,38.94 ,45.12 ,23.73 ,1
13,10,46.24 ,48.86 ,54.73 ,50.00 ,42.97 ,1
12,10,62.13 ,48.01 ,63.70 ,66.61 ,16.82 ,1
29,34,70.25 ,43.46 ,57.00 ,52.20 ,46.40 ,1
15,19,65.67 ,49.53 ,59.78 ,32.99 ,45.53 ,1
23,16,65.78 ,48.84 ,60.37 ,57.64 ,40.93 ,1
12,12,49.92 ,38.39 ,45.39 ,47.99 ,54.82 ,1
25,22,54.64 ,41.05 ,43.85 ,52.07 ,40.47 ,1
21,0,53.12 ,42.22 ,59.05 ,53.88 ,44.34 ,1
28,20,68.10 ,33.98 ,65.22 ,34.80 ,32.45 ,1
12,6,48.47 ,41.13 ,56.34 ,46.24 ,43.07 ,1
14,10,50.63 ,36.97 ,61.91 ,57.62 ,44.20 ,1
25,12,64.36 ,36.94 ,83.11 ,34.98 ,11.96 ,1
31,10,56.60 ,30.69 ,49.26 ,47.83 ,31.30 ,1
24,10,54.25 ,39.68 ,57.26 ,36.82 ,54.03 ,1
31,12,70.62 ,12.74 ,35.43 ,34.45 ,14.86 ,1
9,9,49.90 ,46.02 ,40.06 ,39.88 ,42.73 ,1
12,14,69.01 ,53.53 ,52.26 ,57.79 ,34.95 ,1
19,11,51.21 ,38.49 ,49.66 ,46.18 ,59.65 ,1
17,9,57.15 ,39.93 ,24.79 ,55.10 ,26.11 ,1
31,22,66.12 ,50.94 ,48.16 ,38.60 ,20.62 ,1
10,7,77.31 ,42.72 ,69.00 ,10.17 ,12.79 ,1
11,9,36.93 ,39.83 ,53.38 ,21.41 ,46.32 ,1
16,1,59.00 ,38.59 ,65.81 ,46.36 ,43.45 ,1
13,0,51.22 ,41.51 ,48.97 ,36.84 ,52.48 ,1
10,9,54.28 ,28.36 ,35.27 ,51.90 ,47.24 ,1
12,7,56.88 ,35.63 ,49.80 ,33.33 ,24.00 ,1
18,15,53.93 ,32.57 ,44.95 ,49.96 ,52.53 ,1
25,28,63.26 ,45.49 ,81.11 ,36.97 ,32.99 ,1
23,10,58.97 ,28.44 ,50.53 ,50.05 ,43.40 ,1
26,14,59.60 ,36.45 ,41.48 ,55.60 ,36.34 ,1
16,9,49.87 ,44.48 ,43.72 ,59.45 ,33.02 ,1
14,10,60.62 ,31.77 ,57.91 ,70.87 ,45.32 ,1
16,17,80.64 ,43.11 ,61.63 ,65.26 ,6.16 ,1
36,32,75.20 ,44.63 ,50.60 ,39.75 ,35.48 ,1
14,10,55.06 ,46.93 ,57.89 ,53.77 ,31.74 ,1
17,8,52.01 ,45.68 ,29.98 ,55.57 ,31.34 ,1
26,10,54.34 ,19.57 ,34.56 ,63.12 ,42.47 ,1
19,19,46.17 ,59.46 ,70.20 ,51.72 ,53.87 ,1
9,4,65.29 ,44.69 ,44.15 ,44.36 ,33.63 ,1
10,11,56.65 ,42.83 ,59.49 ,25.52 ,42.77 ,1
13,4,55.51 ,47.09 ,75.22 ,71.06 ,51.51 ,1
16,6,61.36 ,50.26 ,57.00 ,42.62 ,40.90 ,1
25,13,61.01 ,53.84 ,83.06 ,50.55 ,46.90 ,1
15,11,37.40 ,56.22 ,65.04 ,35.17 ,46.54 ,1
15,11,53.28 ,49.48 ,64.70 ,52.25 ,50.33 ,1
25,15,58.66 ,46.62 ,69.46 ,40.45 ,44.13 ,1
21,11,49.64 ,20.94 ,38.33 ,38.09 ,28.28 ,1
15,14,42.01 ,52.53 ,51.13 ,19.58 ,40.99 ,1
16,0,61.61 ,41.60 ,68.88 ,46.22 ,33.26 ,1
40,32,64.49 ,27.74 ,65.59 ,36.71 ,35.42 ,1
14,10,41.85 ,40.58 ,69.47 ,37.10 ,61.22 ,1
11,6,41.14 ,38.65 ,39.82 ,54.86 ,50.46 ,1
20,12,61.74 ,45.86 ,54.89 ,46.43 ,33.17 ,1
12,9,49.93 ,43.11 ,33.77 ,63.16 ,47.68 ,1
21,19,59.20 ,46.31 ,45.58 ,53.25 ,44.48 ,1
20,15,58.75 ,46.67 ,39.32 ,53.66 ,39.73 ,1
13,11,60.35 ,59.69 ,68.33 ,55.51 ,41.54 ,1
28,14,69.25 ,27.85 ,74.09 ,51.68 ,40.41 ,1
9,6,45.21 ,69.72 ,63.70 ,46.00 ,45.70 ,1
44,38,87.55 ,16.10 ,45.12 ,44.48 ,18.81 ,1
22,16,57.62 ,51.09 ,65.66 ,6.27 ,48.11 ,1
12,8,53.46 ,42.86 ,40.06 ,62.97 ,39.94 ,1
15,12,49.73 ,53.47 ,54.31 ,52.09 ,48.33 ,1
15,4,54.65 ,40.51 ,63.43 ,31.15 ,37.52 ,1
11,5,50.86 ,24.66 ,29.79 ,40.63 ,49.96 ,1
17,9,56.90 ,43.17 ,55.82 ,53.75 ,43.13 ,1
14,12,54.39 ,41.55 ,67.53 ,35.75 ,43.34 ,1
10,9,31.83 ,50.37 ,28.49 ,63.41 ,46.14 ,1
29,19,66.62 ,41.35 ,61.37 ,44.29 ,48.13 ,1
12,8,57.86 ,38.52 ,65.25 ,46.12 ,34.16 ,1
11,9,45.30 ,44.99 ,45.34 ,59.25 ,56.16 ,1
30,9,59.04 ,55.28 ,55.99 ,59.10 ,35.87 ,1
19,14,59.80 ,31.65 ,86.09 ,41.08 ,46.41 ,1
12,11,45.14 ,43.01 ,51.42 ,54.07 ,49.09 ,1
13,7,57.94 ,43.12 ,53.77 ,53.84 ,50.86 ,1
16,18,55.71 ,29.53 ,35.46 ,48.27 ,46.79 ,1
22,9,58.46 ,42.19 ,40.27 ,48.46 ,29.06 ,1
25,23,54.23 ,57.16 ,67.53 ,46.50 ,45.13 ,1
29,29,67.08 ,32.43 ,54.28 ,36.83 ,48.33 ,1
15,6,53.48 ,31.46 ,52.99 ,32.94 ,30.96 ,1
25,8,65.14 ,53.53 ,50.17 ,31.01 ,35.54 ,1
26,16,57.75 ,33.52 ,40.21 ,46.04 ,26.85 ,1
19,11,58.93 ,43.98 ,64.84 ,48.00 ,40.87 ,1
22,18,61.25 ,34.25 ,36.05 ,66.89 ,38.26 ,1
17,19,77.69 ,23.27 ,42.02 ,36.63 ,38.58 ,1
14,10,52.61 ,54.56 ,69.71 ,72.71 ,38.69 ,1
24,16,61.68 ,54.48 ,61.19 ,23.69 ,47.23 ,1
28,33,58.17 ,38.84 ,47.48 ,40.15 ,19.93 ,1
17,10,65.36 ,38.55 ,50.97 ,40.73 ,49.09 ,1
20,23,49.70 ,43.55 ,50.65 ,54.24 ,35.07 ,1
29,32,68.47 ,8.82 ,19.55 ,61.30 ,48.16 ,1
22,11,46.86 ,54.91 ,66.88 ,44.39 ,41.75 ,1
20,13,77.32 ,43.97 ,42.81 ,47.68 ,14.78 ,1
21,13,46.82 ,47.49 ,60.98 ,50.11 ,41.62 ,1
28,20,46.30 ,54.16 ,56.46 ,42.23 ,49.67 ,1
10,6,51.30 ,42.27 ,46.22 ,53.81 ,47.27 ,1
14,11,59.42 ,39.77 ,55.80 ,42.39 ,51.44 ,1
19,10,59.04 ,45.14 ,65.83 ,64.78 ,48.62 ,1
30,20,76.36 ,33.29 ,46.35 ,42.46 ,20.74 ,1
12,13,62.45 ,51.09 ,55.46 ,34.68 ,44.97 ,1
33,15,56.46 ,44.64 ,40.14 ,27.18 ,50.75 ,1
24,21,70.57 ,41.72 ,66.72 ,13.81 ,25.57 ,1
15,5,64.08 ,44.55 ,42.10 ,49.92 ,39.43 ,1
19,8,50.19 ,32.27 ,34.55 ,72.44 ,42.37 ,1
11,4,44.75 ,49.64 ,50.86 ,40.75 ,45.31 ,1
36,21,64.01 ,24.00 ,73.09 ,38.27 ,52.10 ,1
13,11,55.66 ,41.47 ,67.76 ,40.71 ,46.72 ,1
14,11,43.30 ,47.20 ,66.67 ,63.40 ,44.22 ,1
15,20,40.51 ,52.68 ,74.65 ,72.54 ,60.49 ,1
27,18,63.89 ,46.58 ,58.44 ,34.96 ,45.32 ,1
35,19,59.62 ,29.96 ,41.21 ,42.69 ,39.08 ,1
14,14,56.61 ,48.32 ,50.46 ,42.26 ,44.93 ,1
36,9,57.10 ,35.66 ,47.39 ,25.96 ,45.92 ,1
21,15,46.56 ,41.31 ,45.70 ,40.25 ,47.74 ,1
16,11,45.05 ,43.99 ,48.90 ,51.58 ,32.70 ,1
19,9,56.90 ,36.84 ,45.11 ,29.12 ,39.74 ,1
20,11,61.85 ,32.02 ,55.55 ,42.43 ,34.58 ,1
24,12,59.80 ,33.01 ,44.25 ,40.98 ,33.94 ,1
11,9,46.07 ,39.16 ,50.98 ,46.46 ,54.46 ,1
21,26,59.71 ,46.37 ,77.89 ,30.61 ,35.06 ,1
27,11,58.01 ,41.34 ,39.02 ,44.36 ,41.84 ,1
27,20,55.35 ,45.72 ,70.98 ,46.47 ,49.95 ,1
12,17,48.35 ,39.94 ,59.14 ,48.12 ,47.19 ,1
11,10,51.24 ,40.50 ,46.92 ,44.14 ,39.13 ,1
17,8,57.84 ,45.44 ,52.92 ,31.10 ,43.35 ,1
17,16,57.44 ,56.21 ,69.69 ,61.74 ,31.63 ,1
31,23,62.17 ,29.84 ,45.65 ,38.88 ,37.06 ,1
27,23,74.11 ,55.54 ,47.38 ,51.97 ,42.05 ,1
9,8,47.69 ,44.45 ,50.48 ,49.90 ,41.80 ,1
37,24,70.94 ,47.01 ,37.64 ,31.19 ,36.38 ,1
15,6,47.52 ,58.23 ,57.99 ,31.59 ,55.31 ,1
14,13,62.61 ,45.04 ,50.11 ,57.64 ,34.69 ,1
20,10,52.06 ,51.91 ,59.90 ,49.96 ,49.06 ,1
24,10,54.72 ,55.99 ,51.62 ,38.80 ,49.38 ,1
26,16,67.56 ,36.68 ,43.21 ,28.72 ,23.68 ,1
24,25,68.69 ,49.82 ,72.84 ,52.08 ,32.75 ,1
32,25,56.54 ,48.75 ,63.30 ,38.39 ,42.76 ,1
13,11,51.37 ,43.83 ,47.84 ,38.52 ,28.82 ,1
16,9,54.34 ,54.30 ,53.54 ,34.90 ,35.56 ,1
17,15,63.74 ,46.19 ,54.54 ,46.22 ,40.71 ,1
17,8,53.19 ,48.35 ,60.59 ,46.22 ,46.51 ,1
25,16,58.02 ,48.89 ,43.51 ,45.85 ,44.69 ,1
9,6,49.89 ,55.58 ,56.42 ,55.87 ,53.56 ,1
9,9,49.51 ,33.00 ,27.18 ,38.57 ,28.45 ,1
21,17,53.13 ,55.43 ,71.17 ,48.22 ,59.42 ,1
21,6,55.17 ,43.42 ,39.37 ,42.35 ,41.52 ,1
32,7,63.83 ,47.22 ,57.70 ,57.53 ,35.17 ,1
9,11,47.03 ,43.33 ,65.88 ,55.54 ,43.66 ,1
14,8,47.60 ,34.39 ,44.42 ,66.98 ,48.82 ,1
33,11,59.97 ,35.99 ,37.27 ,40.55 ,31.71 ,1
25,9,69.44 ,48.83 ,50.66 ,49.94 ,40.06 ,1
16,15,64.13 ,44.71 ,51.55 ,8.42 ,37.32 ,1
10,9,60.45 ,60.14 ,57.41 ,61.31 ,33.13 ,1
16,9,63.10 ,50.47 ,55.57 ,23.44 ,28.10 ,1
15,9,54.87 ,52.50 ,61.88 ,42.43 ,46.38 ,1
18,13,57.32 ,32.08 ,32.12 ,38.70 ,37.66 ,1
19,8,52.12 ,47.32 ,57.08 ,55.71 ,33.66 ,1
14,14,69.48 ,28.69 ,38.96 ,54.28 ,41.87 ,1
25,23,75.49 ,8.18 ,38.12 ,55.11 ,35.07 ,1
22,10,62.71 ,46.79 ,40.50 ,44.03 ,42.80 ,1
16,4,55.48 ,56.18 ,55.13 ,32.75 ,37.09 ,1
14,13,41.36 ,56.09 ,59.60 ,40.82 ,59.54 ,1
20,14,65.08 ,38.86 ,68.34 ,44.41 ,50.26 ,1
19,4,61.03 ,14.59 ,31.74 ,38.68 ,47.46 ,1
20,21,55.73 ,36.17 ,44.76 ,42.46 ,52.42 ,1
31,23,74.15 ,36.43 ,63.20 ,44.35 ,35.39 ,1
11,9,53.41 ,46.02 ,54.79 ,46.34 ,38.07 ,1
23,24,74.05 ,35.28 ,41.22 ,51.84 ,26.58 ,1
12,10,43.15 ,54.79 ,60.73 ,50.11 ,41.72 ,1
20,11,58.11 ,46.98 ,61.05 ,44.32 ,41.12 ,1
27,7,58.54 ,31.29 ,43.78 ,30.35 ,24.25 ,1
33,22,63.45 ,42.76 ,50.82 ,42.28 ,36.76 ,1
10,9,54.67 ,44.74 ,56.47 ,49.94 ,41.25 ,1
15,7,62.89 ,32.46 ,45.47 ,70.70 ,40.70 ,1
27,17,81.29 ,42.73 ,63.74 ,76.41 ,36.76 ,1
24,15,53.18 ,52.67 ,59.64 ,46.26 ,49.94 ,1
15,9,68.15 ,53.45 ,53.29 ,38.58 ,44.39 ,1
10,9,43.35 ,47.28 ,44.57 ,44.21 ,47.15 ,1
26,8,69.36 ,32.12 ,62.32 ,42.11 ,39.97 ,1
19,13,56.56 ,32.70 ,56.93 ,38.80 ,49.29 ,1
36,44,74.55 ,53.67 ,64.74 ,50.12 ,42.11 ,1
15,6,53.37 ,50.68 ,48.54 ,53.77 ,40.58 ,1
14,8,53.70 ,49.94 ,66.92 ,59.23 ,48.31 ,1
13,7,48.82 ,54.75 ,52.30 ,40.81 ,49.24 ,1
14,11,72.98 ,23.28 ,49.09 ,31.24 ,25.58 ,1
12,9,69.18 ,39.45 ,46.86 ,31.05 ,47.53 ,1
20,10,48.94 ,38.91 ,44.47 ,55.38 ,38.80 ,1
14,12,59.86 ,44.96 ,33.47 ,46.04 ,32.16 ,1
14,3,64.95 ,45.26 ,59.09 ,68.94 ,52.72 ,1
23,14,57.26 ,56.85 ,51.47 ,63.20 ,12.76 ,1
24,10,55.57 ,48.69 ,49.15 ,38.03 ,37.29 ,1
17,26,68.61 ,60.86 ,57.99 ,63.40 ,24.49 ,1
19,26,61.02 ,39.32 ,53.56 ,53.52 ,34.77 ,1
26,13,70.73 ,36.09 ,74.65 ,52.01 ,55.00 ,1
12,11,54.72 ,44.60 ,60.40 ,42.20 ,20.30 ,1
12,12,54.92 ,52.99 ,67.72 ,42.60 ,56.08 ,1
14,9,38.50 ,50.99 ,69.64 ,40.54 ,49.03 ,1
18,10,53.07 ,48.84 ,48.28 ,38.24 ,41.78 ,1
15,12,58.75 ,44.11 ,29.61 ,47.86 ,40.67 ,1
24,18,57.91 ,47.14 ,60.45 ,53.98 ,31.43 ,1
15,9,67.45 ,49.04 ,43.20 ,29.58 ,41.51 ,1
16,14,65.22 ,49.99 ,60.82 ,42.44 ,29.90 ,1
11,9,49.99 ,41.10 ,46.78 ,44.39 ,35.00 ,1
29,34,69.19 ,41.32 ,62.93 ,32.62 ,34.38 ,1
25,15,65.95 ,34.94 ,53.73 ,33.11 ,39.73 ,1
22,23,57.76 ,40.39 ,56.84 ,38.71 ,38.62 ,1
9,3,56.26 ,25.17 ,73.22 ,44.82 ,56.05 ,1
24,12,54.26 ,35.91 ,33.09 ,42.30 ,40.80 ,1
18,14,63.05 ,60.51 ,54.67 ,44.45 ,33.08 ,1
12,5,52.33 ,38.46 ,42.10 ,49.64 ,26.02 ,1
12,8,55.52 ,42.25 ,60.93 ,51.90 ,34.62 ,1
11,16,49.78 ,42.78 ,58.06 ,49.59 ,44.05 ,1
37,34,64.14 ,35.28 ,35.25 ,35.10 ,42.03 ,1
17,10,53.67 ,44.44 ,48.26 ,27.30 ,49.43 ,1
18,9,76.60 ,33.50 ,49.12 ,42.40 ,33.79 ,1
9,9,52.59 ,51.54 ,69.40 ,51.91 ,48.90 ,1
22,10,57.88 ,45.45 ,52.36 ,25.35 ,47.76 ,1
11,9,72.79 ,41.22 ,61.27 ,59.41 ,25.93 ,1
20,10,48.47 ,44.74 ,46.44 ,28.94 ,31.80 ,1
21,9,45.92 ,51.46 ,60.89 ,61.53 ,51.08 ,1
14,12,60.37 ,40.96 ,47.84 ,46.22 ,44.36 ,1
17,9,52.12 ,40.90 ,66.94 ,42.35 ,38.45 ,1
22,7,52.01 ,42.15 ,49.17 ,42.57 ,41.94 ,1
20,9,58.53 ,37.18 ,45.87 ,60.37 ,52.80 ,1
11,6,63.89 ,51.72 ,41.16 ,46.39 ,44.74 ,1
17,10,46.05 ,51.20 ,51.60 ,47.94 ,53.27 ,1
17,9,55.47 ,38.21 ,47.47 ,47.88 ,48.11 ,1
16,9,57.14 ,47.15 ,50.91 ,27.65 ,45.12 ,1
19,5,50.98 ,27.70 ,29.31 ,65.04 ,36.41 ,1
10,9,42.93 ,57.16 ,67.95 ,64.78 ,55.00 ,1
23,13,62.23 ,24.77 ,54.30 ,57.64 ,52.50 ,1
9,8,58.95 ,27.96 ,43.60 ,53.11 ,29.62 ,1
29,13,59.54 ,53.43 ,80.27 ,51.94 ,45.19 ,1
20,13,69.56 ,29.42 ,83.91 ,51.91 ,44.35 ,1
16,11,66.88 ,38.72 ,54.45 ,24.96 ,22.13 ,1
23,14,59.41 ,30.24 ,42.06 ,32.92 ,32.69 ,1
17,11,51.08 ,42.92 ,55.42 ,57.65 ,43.43 ,1
18,16,50.89 ,38.76 ,52.50 ,55.72 ,44.76 ,1
28,12,70.47 ,27.42 ,63.14 ,61.32 ,37.96 ,1
17,11,47.84 ,36.58 ,34.69 ,21.55 ,46.89 ,1
21,11,42.96 ,49.91 ,57.17 ,10.19 ,55.53 ,1
15,11,60.58 ,34.58 ,40.69 ,66.70 ,53.05 ,1
25,10,52.51 ,40.96 ,62.76 ,55.49 ,44.22 ,1
12,11,43.03 ,39.91 ,54.55 ,35.13 ,35.75 ,1
19,15,59.34 ,48.15 ,42.56 ,27.19 ,32.50 ,1
13,12,59.10 ,56.07 ,71.72 ,42.15 ,51.62 ,1
11,3,51.09 ,37.50 ,45.91 ,49.92 ,39.60 ,1
26,15,63.80 ,47.45 ,63.24 ,46.60 ,36.69 ,1
27,16,59.04 ,34.64 ,26.84 ,26.22 ,32.69 ,1
10,9,51.44 ,51.14 ,59.72 ,42.37 ,52.09 ,1
32,24,62.76 ,44.59 ,51.53 ,37.01 ,37.63 ,1
18,9,64.23 ,51.04 ,48.78 ,39.31 ,38.34 ,1
22,18,64.97 ,43.25 ,43.49 ,38.32 ,18.85 ,1
24,9,75.53 ,48.48 ,56.61 ,36.62 ,34.81 ,1
13,9,40.66 ,65.09 ,75.31 ,55.41 ,56.06 ,1
20,9,66.22 ,55.29 ,67.69 ,40.75 ,32.60 ,1
11,12,43.70 ,52.83 ,51.52 ,48.55 ,56.42 ,1
12,9,48.48 ,54.29 ,48.90 ,34.86 ,46.47 ,1
20,12,58.07 ,20.92 ,47.04 ,48.10 ,36.51 ,1
31,15,76.38 ,38.12 ,60.51 ,44.40 ,37.18 ,1
14,6,62.25 ,52.18 ,62.76 ,46.00 ,49.09 ,1
12,9,55.18 ,50.82 ,60.17 ,53.51 ,41.85 ,1
11,10,51.49 ,41.39 ,28.80 ,53.94 ,36.38 ,1
22,10,58.58 ,23.69 ,40.25 ,62.67 ,22.51 ,1
14,13,48.71 ,26.80 ,21.23 ,34.06 ,53.79 ,1
23,25,67.79 ,35.72 ,49.60 ,50.24 ,42.00 ,1
18,20,61.33 ,41.87 ,70.22 ,46.24 ,26.27 ,1
23,23,67.22 ,26.10 ,60.69 ,46.24 ,28.11 ,1
11,10,49.38 ,41.59 ,48.15 ,67.04 ,52.81 ,1
21,18,68.04 ,39.76 ,56.63 ,39.95 ,35.55 ,1
18,14,63.56 ,29.99 ,63.25 ,49.84 ,46.16 ,1
24,19,78.57 ,30.81 ,51.77 ,53.57 ,13.99 ,1
15,12,50.76 ,53.68 ,48.43 ,47.98 ,54.57 ,1
18,5,56.48 ,37.19 ,38.67 ,24.89 ,38.89 ,1
20,8,57.41 ,48.28 ,58.02 ,53.52 ,43.13 ,1
12,10,55.48 ,54.75 ,70.76 ,52.02 ,32.38 ,1
12,8,57.79 ,30.01 ,55.28 ,55.64 ,32.94 ,1
36,16,63.61 ,41.25 ,52.73 ,47.98 ,31.57 ,1
11,18,45.33 ,37.14 ,54.32 ,61.32 ,44.11 ,1
21,15,59.87 ,34.08 ,58.82 ,63.57 ,33.71 ,1
17,11,62.51 ,39.75 ,61.62 ,44.49 ,36.75 ,1
13,11,46.22 ,51.39 ,68.02 ,67.36 ,51.08 ,1
9,9,51.21 ,48.84 ,55.37 ,63.40 ,38.85 ,1
22,0,57.82 ,37.79 ,55.10 ,48.27 ,35.57 ,1
14,8,58.07 ,47.91 ,47.34 ,38.54 ,39.46 ,1
32,26,67.35 ,51.80 ,63.81 ,23.87 ,53.36 ,1
19,11,58.82 ,17.30 ,60.70 ,63.33 ,35.69 ,1
13,12,46.44 ,55.84 ,52.42 ,56.20 ,54.05 ,1
27,22,76.42 ,51.14 ,58.21 ,43.77 ,49.97 ,1
15,1,74.08 ,47.41 ,68.26 ,59.65 ,26.41 ,1
17,12,61.41 ,37.51 ,60.40 ,38.30 ,48.23 ,1
29,14,65.39 ,42.82 ,48.19 ,33.09 ,34.48 ,1
13,10,50.95 ,38.90 ,35.76 ,59.37 ,42.86 ,1
11,9,61.20 ,36.02 ,34.13 ,53.74 ,28.43 ,1
17,15,53.28 ,48.31 ,63.31 ,38.60 ,33.85 ,1
